10_09 Answer Sheet,
,
Number:,Answer:
Section 1:,
Section 2:,
1,A
2,B
3,C
4,D
5,?
6,A
7,B
8,C
9,D
10,?
11,A
12,B
13,C
14,D
15,?
16,A
17,B
18,B
Section 3:,
1,D
2,D
3,B
4,C
5,A
6,B
7,C
8,D
9,?
10,A
11,B
12,C
13,D
14,?
15,E
16,B
17,A
18,C
19,B
20,D
21,E
22,A
23,D
24,E
25,?
Section 4:,
Section 5:,
1,B
2,D
3,A
4,A
5,C
6,D
7,D
8,E
9,A
10,B
11,C
12,D
13,E
14,D
15,C
16,B
17,A
18,A
19,C
20,E
Section 6:,
1,B
2,C
3,D
4,A
5,A
6,B
7,C
8,D
9,E
10,E
11,D
12,C
13,A
14,A
15,B
16,C
17,D
18,E
19,C
20,B
21,B
22,D
23,E
24,A
25,B
26,C
27,D
28,E
29,B
30,B
31,A
32,D
33,C
34,C
35,E
Section 7:,
1,B
2,C
3,D
4,A
5,B
6,C
7,D
8,E
9,A
10,A
11,B
12,C
13,D
14,?
15,E
16,A
17,B
18,C
19,D
20,A
21,?
22,B
23,D
24,D
Section 8:,
1,B
2,C
3,D
4,A
5,?
6,?
7,A
8,D
9,B
10,E
11,?
12,B
13,C
14,D
15,?
16,A
Section 9:,
1,B
2,C
3,D
4,A
5,B
6,C
7,D
8,D
9,A
10,?
11,C
12,B
13,A
14,D
15,B
16,C
17,D
18,?
Section 10:,
1,A
2,B
3,D
4,D
5,B
6,C
7,D
8,A
9,A
10,?
11,B
12,C
13,E
14,?
