10_09 Answer Sheet,
,
Number:,Answer:
Section 1:,
Section 2:,
1,?
2,?
3,?
4,?
5,?
6,?
7,?
8,?
9,?
10,?
11,?
12,?
13,?
14,?
15,?
16,?
17,?
18,?
Section 3:,
1,B
2,C
3,D
4,A
5,B
6,E
7,D
8,A
9,C
10,B
11,A
12,E
13,D
14,C
15,B
16,E
17,D
18,D
19,A
20,A
21,A
22,E
23,C
24,B
25,E
Section 4:,
Section 5:,
1,?
2,?
3,?
4,?
5,?
6,?
7,?
8,?
9,?
10,?
11,?
12,?
13,?
14,?
15,?
16,?
17,?
18,?
19,?
20,?
Section 6:,
1,?
2,?
3,?
4,?
5,?
6,?
7,?
8,?
9,?
10,?
11,?
12,?
13,?
14,?
15,?
16,?
17,?
18,?
19,?
20,?
21,?
22,?
23,?
24,?
25,?
26,?
27,?
28,?
29,?
30,?
31,?
32,?
33,?
34,?
35,?
Section 7:,
1,?
2,?
3,?
4,?
5,?
6,?
7,?
8,?
9,?
10,?
11,?
12,?
13,?
14,?
15,?
16,?
17,?
18,?
19,?
20,?
21,?
22,?
23,?
24,?
Section 8:,
1,?
2,?
3,?
4,?
5,?
6,?
7,?
8,?
9,?
10,?
11,?
12,?
13,?
14,?
15,?
16,?
Section 9:,
1,?
2,?
3,?
4,?
5,?
6,?
7,?
8,?
9,?
10,?
11,?
12,?
13,?
14,?
15,?
16,?
17,?
18,?
Section 10:,
1,?
2,?
3,?
4,?
5,?
6,?
7,?
8,?
9,?
10,?
11,?
12,?
13,?
14,?
